"view","contribution","cumulative_fraction"
"gene",0.00032842110971875,0.244295830055075
"gene",0.000330793519385969,0.247574088644112
"gene",0.000332616797455415,0.250983477576711
"gene",0.000335159498463606,0.254261736165749
"gene",0.000337175582749357,0.257671125098348
"gene",0.000340575333268175,0.260949383687385
"gene",0.000342933489618442,0.264358772619984
"gene",0.000345791707724653,0.267637031209022
"gene",0.000349205729331545,0.271046420141621
"gene",0.000352328034521492,0.274324678730658
"gene",0.000355478727770817,0.277734067663257
"gene",0.000358681030986162,0.281012326252295
"gene",0.000362683954840821,0.284421715184894
"gene",0.000367354451801396,0.287699973773931
"gene",0.000371355013858632,0.29110936270653
"gene",0.000374846858769786,0.294387621295568
"gene",0.000377420722645292,0.297797010228167
"gene",0.000380182094565384,0.301075268817204
"gene",0.000383393363273399,0.304484657749803
"gene",0.000386697831881054,0.307762916338841
"gene",0.000390027968376942,0.31117230527144
"gene",0.00039383735251933,0.314450563860477
"gene",0.000397092578750908,0.317859952793076
"gene",0.000399949204893549,0.321138211382114
"gene",0.0004046231063594,0.324547600314713
"gene",0.00040736908488255,0.32782585890375
"gene",0.000413334140698174,0.331235247836349
"gene",0.000416278856702525,0.334513506425387
"gene",0.000419834170612524,0.337922895357986
"gene",0.000423427593543814,0.341201153947023
"gene",0.000426169832605838,0.344610542879622
"gene",0.000430061557848833,0.34788880146866
"gene",0.000433717914291931,0.351298190401259
"gene",0.000437145924919907,0.354576448990296
"gene",0.000440802825331165,0.357985837922895
"gene",0.000444874094945533,0.361264096511933
"gene",0.000450300751815861,0.364673485444532
"gene",0.000454023837959887,0.367951744033569
"gene",0.000457786233281923,0.371361132966168
"gene",0.000462809525892593,0.374639391555206
"gene",0.000467017330487086,0.378048780487805
"gene",0.00047067530880977,0.381327039076842
"gene",0.000475595474247168,0.384736428009441
"gene",0.000479145763820401,0.388014686598479
"gene",0.000483077544607513,0.391424075531078
"gene",0.000488831398694692,0.394702334120115
"gene",0.000494452218320948,0.398111723052714
"gene",0.000498548824168621,0.401389981641752
"gene",0.00050635841772444,0.404799370574351
"gene",0.000510984199564279,0.408077629163388
"gene",0.000516675619687918,0.411487018095987
"gene",0.000522292382601752,0.414765276685025
"gene",0.00052734558695162,0.418174665617624
"gene",0.000533097075680709,0.421452924206661
"gene",0.000540508467331,0.42486231313926
"gene",0.000546614142552403,0.428140571728298
"gene",0.000550849679151538,0.431549960660897
"gene",0.000555143461127474,0.434828219249934
"gene",0.000561066794042674,0.438237608182533
"gene",0.000567170514521656,0.441515866771571
"gene",0.000570771883620047,0.44492525570417
"gene",0.000576285601146969,0.448203514293207
"gene",0.000582698702009534,0.451612903225806
"gene",0.000589550717174956,0.454891161814844
"gene",0.000596283176484233,0.458300550747443
"gene",0.00060159690298812,0.46157880933648
"gene",0.000607019189723387,0.464988198269079
"gene",0.000614400173528875,0.468266456858117
"gene",0.000619176241190965,0.471675845790716
"gene",0.000626436699753572,0.474954104379753
"gene",0.000631874821546265,0.478363493312353
"gene",0.000638292691041252,0.48164175190139
